microp_capacity,microp_volume,potential,slope,intercept,corr_coef,min_p_index,max_p_index,curvature,point_count,pressure_range
334.60705162586413,0.5180926221721471,5.421307251440111,-0.00873164962033682,2.524535089196403,-0.9962841629355318,0,9,0.0004512723835569491,10,"[0.001034, 0.00207179]"
340.1757993693493,0.5267150558794421,5.361733034568324,-0.009025947161626982,2.531703413996723,-0.9956131449304866,0,10,0.0004378829712527723,11,"[0.001034, 0.0022209]"
345.83171312048006,0.5354724540629666,5.304209892703599,-0.00932279690649038,2.5388648160105403,-0.9949315648280648,0,11,0.00041993712987827534,12,"[0.001034, 0.00238074]"
351.5512399325773,0.5443283482506859,5.248846449229701,-0.009620922244113272,2.5459886340447384,-0.994253145748666,0,12,0.0004049702916907839,13,"[0.001034, 0.00255208]"
357.3051229550011,0.5532374382661962,5.195767729022942,-0.009918799388912597,2.5530392430570106,-0.993593141842557,0,13,0.00039226930650494674,14,"[0.001034, 0.00273575]"
363.05731951401526,0.5621439170269651,5.145119399854369,-0.010214612624900091,2.5599751968913225,-0.9929685272718085,0,14,0.000381336466124279,15,"[0.001034, 0.00293264]"
368.76391764874586,0.5709797929504979,5.09707154210769,-0.010506209819669257,2.5667484201563586,-0.9923980280755335,0,15,0.0004248481167319395,16,"[0.001034, 0.00314371]"
374.37176087199913,0.5796627605871578,5.0518247878263365,-0.01079104252200695,2.573303082160091,-0.9919021995749253,0,16,0.0006863970494421166,17,"[0.001034, 0.00336996]"
379.8172866563692,0.5880944021769619,5.0096150473611765,-0.011066114605399255,2.579574726932395,-0.9915030257558234,0,17,0.0010720821700168101,18,"[0.001034, 0.0036125]"
385.0241853276509,0.5961565627706524,4.970728105599802,-0.011327868259345926,2.585488010610953,-0.991224097549208,0,18,0.0016000136773814853,19,"[0.001034, 0.00387249]"
389.90165214806774,0.6037086438229456,4.935510671530786,-0.01157209302805334,2.590955075447716,-0.9910894708979764,0,19,0.0023511833338932847,20,"[0.001034, 0.00415119]"
394.3417004160219,0.6105834429000655,4.904391059247581,-0.011793777088908856,2.5958727048008052,-0.9911221380090318,0,20,0.003416546954101319,21,"[0.001034, 0.00444995]"
398.2162188585324,0.6165825974599612,4.877905980393234,-0.011986928259266455,2.6001189443335795,-0.9913405320062062,0,21,0.004972798159688282,22,"[0.001034, 0.00477021]"
401.37344775935196,0.6214711286253244,4.856739072840207,-0.012144338365482031,2.6035486390208957,-0.9917516402151004,0,22,0.005304480859205251,23,"[0.001034, 0.00511352]"
403.70279459564074,0.6250777992095135,4.841324515522509,-0.012260709008999879,2.606061755784516,-0.9923187915324161,0,23,0.006511793444639865,24,"[0.001034, 0.00548154]"
405.36456067499734,0.6276508135596511,4.830404611223549,-0.012344048914698355,2.6078457774698136,-0.992930439832751,0,24,0.006435736082791387,25,"[0.001034, 0.00587605]"
406.50426146414753,0.6294154821985019,4.822932858763831,-0.012401508463321378,2.609065102748447,-0.9935256258383266,0,25,0.0063655392224086305,26,"[0.001034, 0.00629895]"
407.2282326825331,0.6305364512429018,4.818180461208808,-0.012438241191620106,2.6098378795280945,-0.9940764092317129,0,26,0.006300568822800296,27,"[0.001034, 0.00675228]"
407.61536220006093,0.631135867620655,4.815628576518061,-0.012458025361568453,2.6102505433250487,-0.9945709826244471,0,27,0.006240282368878276,28,"[0.001034, 0.00723825]"
407.7261457291069,0.6313074005539212,4.8148935391977385,-0.012463731717881862,2.6103685617876895,-0.9950054133722249,0,28,0.0061842106095476275,29,"[0.001034, 0.00775918]"
407.61008121334123,0.6311276907449915,4.815670135770092,-0.01245770282635874,2.6102449166523045,-0.9953797659530582,0,29,0.006131952766867484,30,"[0.001034, 0.00831761]"
407.3116441160458,0.6306656022817032,4.817687053846125,-0.01244206319589866,2.6099268257576425,-0.9956966473826893,0,30,0.00608315479559909,31,"[0.001034, 0.00891623]"
406.8757550775976,0.6299906885468958,4.820666123930277,-0.012419010679758083,2.609461811874122,-0.9959611919051153,0,31,0.006037509986210965,32,"[0.001034, 0.00955793]"
406.3517837443738,0.6291793915922922,4.8242906643967185,-0.012391040140850776,2.6089021704962283,-0.9961817126785083,0,32,0.005994748092630913,33,"[0.001034, 0.01024581]"
405.77941164310516,0.6282931527597166,4.8283001004514015,-0.012360197128481173,2.60829000810733,-0.9963670843070016,0,33,0.005954630316765043,34,"[0.001034, 0.0109832]"
405.18543041307225,0.6273734551876138,4.832514540612846,-0.012327887349004007,2.6076538206838835,-0.9965248196184676,0,34,0.00591694456351766,35,"[0.001034, 0.01177366]"
404.5885959802769,0.6264493398266641,4.836804025720427,-0.012295117774659952,2.607013637276514,-0.9966611093436399,0,35,0.005881502511738953,36,"[0.001034, 0.01262101]"
404.00213332748535,0.6255412837288788,4.841073151376289,-0.012262618952403641,2.6063836584024584,-0.9967809452330817,0,36,0.005848135683065747,37,"[0.001034, 0.01352934]"
403.4358493883644,0.6246644715711924,4.845247603200289,-0.012230951497094173,2.605774487083948,-0.9968884046958167,0,37,0.005816693156606344,38,"[0.001034, 0.01450305]"
402.8979860164615,0.6238316647209916,4.849261696316188,-0.012200603279088071,2.6051950964672472,-0.9969869955377157,0,38,0.005787038648048714,39,"[0.001034, 0.01554683]"
402.3969676769285,0.6230559072944111,4.8530458503865335,-0.012172085367729726,2.6046546993685986,-0.9970800054703589,0,39,0.005759049926467244,40,"[0.001034, 0.01666574]"
401.94310538637035,0.6223531644709177,4.856513614675084,-0.012146029803372642,2.6041645835187133,-0.997170783876529,0,40,0.0064436219385909654,41,"[0.001034, 0.01786517]"
401.55040409760034,0.6217451209779888,4.8595472129099555,-0.012123297358933086,2.603740067292221,-0.997262852333467,0,41,0.007386531537743092,42,"[0.001034, 0.01915092]"
401.2360440110132,0.6212583779736952,4.862000727016241,-0.012104953284739199,2.603399939831835,-0.9973591724566749,0,42,0.007355965468530817,43,"[0.001034, 0.02052922]"
401.00229951237947,0.6208964570290318,4.863842432042698,-0.012091207804607965,2.603146863050791,-0.9974586644755615,0,43,0.007327053164163691,44,"[0.001034, 0.0220067]"
400.8473331083963,0.6206565130404096,4.865074059462238,-0.012082027220655853,2.6029789985230036,-0.997559142595416,0,44,0.00729969605609224,45,"[0.001034, 0.02359052]"
400.7694994445586,0.6205359984045256,4.865697535438455,-0.012077383357089083,2.602894662143216,-0.9976582147036819,0,45,0.00727380275068232,46,"[0.001034, 0.02528833]"
400.7680210840132,0.6205337093682134,4.865709461322187,-0.012077294552202817,2.6028930601125917,-0.9977532900367259,0,46,0.007249289698429331,47,"[0.001034, 0.02710833]"
400.8437224760231,0.6206509224768372,4.865094970593767,-0.012081871428771056,2.6029750865978176,-0.9978414256049426,0,47,0.00815467967363038,48,"[0.001034, 0.02905931]"
400.9998651849589,0.6208926878105697,4.863820687334156,-0.012091369973794857,2.603144226611608,-0.9979189467653835,0,48,0.009189606342629704,49,"[0.001034, 0.03115071]"
401.2414930817429,0.6212668151041413,4.8618399087703805,-0.01210615453315139,2.6034058378196043,-0.9979809549585291,0,49,0.010570306261793127,50,"[0.001034, 0.03339262]"
