microp_capacity,microp_volume,potential,slope,intercept,corr_coef,min_p_index,max_p_index,curvature,point_count,pressure_range
581.877707342843,0.9009569455154551,4.250512745323436,-0.052237557671976194,2.7648317190022333,-0.9295716157941086,2,23,0.2209571346996533,22,"[0.00014812, 0.03816369]"
582.9178814029165,0.9025675108149022,4.340251116124456,-0.05009977717366522,2.7656073778027244,-0.9378759674017294,3,21,0.17939653823289659,19,"[0.00018851, 0.02074716]"
561.5513896702031,0.8694844610864747,4.408574989808714,-0.04855892280234856,2.7493895063302487,-0.9385294407010504,3,22,0.17075662936553335,20,"[0.00018851, 0.02911093]"
542.5732293579958,0.8400994113919786,4.475646191509566,-0.047114437926356376,2.7344583618013285,-0.9389007829201694,3,23,0.2269655691547059,21,"[0.00018851, 0.03816369]"
567.6011284467393,0.8788516427132885,4.479515385961143,-0.04703308261122554,2.75404325020634,-0.9437031023406673,4,19,0.1872832839871952,16,"[0.00022428, 0.00889211]"
553.717680450459,0.8573550485971965,4.527691994267804,-0.0460375028097491,2.743288390948237,-0.9458578156602088,4,20,0.18560975109377306,17,"[0.00022428, 0.00978126]"
543.0802467310237,0.8408844574900882,4.5668687858601205,-0.045251027149050486,2.734864006637721,-0.9478884727406146,4,21,0.18408662988847255,18,"[0.00022428, 0.02074716]"
527.0368463867877,0.8160434766664185,4.63308137341049,-0.04396688050727772,2.7218409788236886,-0.9489141667744898,4,22,0.1745142899892763,19,"[0.00022428, 0.02911093]"
512.5617134844367,0.7936307405174662,4.698487067330411,-0.04275131103461474,2.7097461628247435,-0.9495863261794649,4,23,0.23166131521977673,20,"[0.00022428, 0.03816369]"
563.3130207632081,0.872212102562768,4.580188241420713,-0.04498822455565272,2.7507497899008153,-0.9506198741345675,5,17,0.19928284426374582,13,"[0.00025984, 0.00669891]"
542.6075227928363,0.8401525100206342,4.6596576070972375,-0.04346678285694516,2.7344858105917575,-0.951721393084878,5,18,0.1957139417701876,14,"[0.00025984, 0.00805449]"
528.8015212485882,0.8187758309966368,4.717708720376313,-0.0424036520919692,2.7232926958514816,-0.9539489473912156,5,19,0.19194293233836063,15,"[0.00025984, 0.00889211]"
518.9689343146964,0.8035514335353077,4.761765043600779,-0.041622636298305565,2.7151413615873716,-0.9561434134780707,5,20,0.19009143873159665,16,"[0.00025984, 0.00978126]"
511.4950327955727,0.7919791333787981,4.796999135922182,-0.04101344296914347,2.708841420570275,-0.958150793846178,5,21,0.18841035205900225,17,"[0.00025984, 0.02074716]"
499.58957066930674,0.7735451761110202,4.859527525277054,-0.0399647790594656,2.6986133635530845,-0.9594263576880195,5,22,0.17792974038382606,18,"[0.00025984, 0.02911093]"
488.63576391429257,0.7565847252272243,4.921948291586573,-0.03895753015377352,2.6889852504028866,-0.9602864523293173,5,23,0.23590989219736916,19,"[0.00025984, 0.03816369]"
583.6698188054427,0.9037317816175979,4.58211723282549,-0.04495035401361161,2.766167236799729,-0.9623405313101034,6,15,0.12198424626667627,10,"[0.00029995, 0.00494507]"
